year,county,rating_area,insurer,plan,metal_tier,enrollment_est
2014,ALAMEDA,6,Anthem Blue Cross of California,PPO,Bronze,4659.099871342801
2014,ALAMEDA,6,Anthem Blue Cross of California,PPO,Gold,849.6394716028208
2014,ALAMEDA,6,Anthem Blue Cross of California,PPO,Minimum Coverage,239.99749831120883
2014,ALAMEDA,6,Anthem Blue Cross of California,PPO,Platinum,647.6943271914115
2014,ALAMEDA,6,Anthem Blue Cross of California,PPO,Silver,9236.443050013824
2014,ALAMEDA,6,Blue Shield of California,EPO,Bronze,2803.1535861836655
2014,ALAMEDA,6,Blue Shield of California,EPO,Gold,1141.0202835192927
2014,ALAMEDA,6,Blue Shield of California,EPO,Minimum Coverage,20.02618517779848
2014,ALAMEDA,6,Blue Shield of California,EPO,Platinum,668.5044435545119
2014,ALAMEDA,6,Blue Shield of California,EPO,Silver,10870.145814181824
2014,ALAMEDA,6,Kaiser Permanente,HMO,Bronze,7167.746542473534
2014,ALAMEDA,6,Kaiser Permanente,HMO,Gold,1209.3402448778868
2014,ALAMEDA,6,Kaiser Permanente,HMO,Minimum Coverage,179.97631651099272
2014,ALAMEDA,6,Kaiser Permanente,HMO,Platinum,1683.8012292540764
2014,ALAMEDA,6,Kaiser Permanente,HMO,Silver,13013.411135804348
2014,ALPINE,1,Anthem Blue Cross of California,EPO,Bronze,0.0
2014,ALPINE,1,Anthem Blue Cross of California,PPO,Bronze,20.0
2014,ALPINE,1,Anthem Blue Cross of California,PPO,Gold,10.0
2014,ALPINE,1,Anthem Blue Cross of California,PPO,Minimum Coverage,0.0
2014,ALPINE,1,Anthem Blue Cross of California,PPO,Platinum,0.0
2014,ALPINE,1,Anthem Blue Cross of California,PPO,Silver,30.0
2014,ALPINE,1,Blue Shield of California,EPO,Bronze,0.0
2014,ALPINE,1,Blue Shield of California,EPO,Gold,0.0
2014,ALPINE,1,Blue Shield of California,EPO,Minimum Coverage,0.0
2014,ALPINE,1,Blue Shield of California,EPO,Platinum,0.0
2014,ALPINE,1,Blue Shield of California,EPO,Silver,0.0
2014,ALPINE,1,Kaiser Permanente,HMO,Bronze,0.0
2014,ALPINE,1,Kaiser Permanente,HMO,Gold,0.0
2014,ALPINE,1,Kaiser Permanente,HMO,Platinum,0.0
2014,ALPINE,1,Kaiser Permanente,HMO,Silver,0.0
2014,AMADOR,1,Anthem Blue Cross of California,EPO,Bronze,0.0
2014,AMADOR,1,Anthem Blue Cross of California,PPO,Bronze,214.62921320988747
2014,AMADOR,1,Anthem Blue Cross of California,PPO,Gold,42.172003200727474
2014,AMADOR,1,Anthem Blue Cross of California,PPO,Minimum Coverage,0.0
2014,AMADOR,1,Anthem Blue Cross of California,PPO,Platinum,15.233704734718764
2014,AMADOR,1,Anthem Blue Cross of California,PPO,Silver,547.9650788540109
2014,AMADOR,1,Blue Shield of California,EPO,Bronze,35.200257986930865
2014,AMADOR,1,Blue Shield of California,EPO,Gold,13.358712217400745
2014,AMADOR,1,Blue Shield of California,EPO,Minimum Coverage,0.0
2014,AMADOR,1,Blue Shield of California,EPO,Platinum,8.688439847116824
2014,AMADOR,1,Blue Shield of California,EPO,Silver,122.75258994894737
2014,AMADOR,1,Kaiser Permanente,HMO,Bronze,20.170528803181714
2014,AMADOR,1,Kaiser Permanente,HMO,Gold,4.469284581871777
2014,AMADOR,1,Kaiser Permanente,HMO,Platinum,6.077855418164413
2014,AMADOR,1,Kaiser Permanente,HMO,Silver,59.28233119704165
2014,BUTTE,1,Anthem Blue Cross of California,EPO,Bronze,0.0
2014,BUTTE,1,Anthem Blue Cross of California,PPO,Bronze,1624.6319925797525
2014,BUTTE,1,Anthem Blue Cross of California,PPO,Gold,190.32064398191056
2014,BUTTE,1,Anthem Blue Cross of California,PPO,Minimum Coverage,27.641761840240765
2014,BUTTE,1,Anthem Blue Cross of California,PPO,Platinum,123.60193352003972
2014,BUTTE,1,Anthem Blue Cross of California,PPO,Silver,3102.5579933374443
2014,BUTTE,1,Blue Shield of California,EPO,Bronze,175.36800742024744
2014,BUTTE,1,Blue Shield of California,EPO,Gold,39.67935601808947
2014,BUTTE,1,Blue Shield of California,EPO,Minimum Coverage,2.3582381597592357
2014,BUTTE,1,Blue Shield of California,EPO,Platinum,46.39806647996028
2014,BUTTE,1,Blue Shield of California,EPO,Silver,457.4420066625554
2014,BUTTE,1,Kaiser Permanente,HMO,Bronze,0.0
2014,BUTTE,1,Kaiser Permanente,HMO,Gold,0.0
2014,BUTTE,1,Kaiser Permanente,HMO,Platinum,0.0
2014,BUTTE,1,Kaiser Permanente,HMO,Silver,0.0
2014,CALVERAS,1,Anthem Blue Cross of California,EPO,Bronze,0.0
2014,CALVERAS,1,Anthem Blue Cross of California,PPO,Bronze,382.35897889827453
2014,CALVERAS,1,Anthem Blue Cross of California,PPO,Gold,91.81792855592794
2014,CALVERAS,1,Anthem Blue Cross of California,PPO,Minimum Coverage,9.648176971421064
2014,CALVERAS,1,Anthem Blue Cross of California,PPO,Platinum,43.08684392389323
2014,CALVERAS,1,Anthem Blue Cross of California,PPO,Silver,903.0880716504679
2014,CALVERAS,1,Blue Shield of California,EPO,Bronze,17.641021101725464
2014,CALVERAS,1,Blue Shield of California,EPO,Gold,8.182071444072053
2014,CALVERAS,1,Blue Shield of California,EPO,Minimum Coverage,0.3518230285789362
2014,CALVERAS,1,Blue Shield of California,EPO,Platinum,6.9131560761067785
2014,CALVERAS,1,Blue Shield of California,EPO,Silver,56.911928349532076
2014,CALVERAS,1,Kaiser Permanente,HMO,Bronze,0.0
2014,CALVERAS,1,Kaiser Permanente,HMO,Gold,0.0
2014,CALVERAS,1,Kaiser Permanente,HMO,Platinum,0.0
2014,CALVERAS,1,Kaiser Permanente,HMO,Silver,0.0
2014,COLUSA,1,Anthem Blue Cross of California,EPO,Bronze,0.0
2014,COLUSA,1,Anthem Blue Cross of California,PPO,Bronze,289.3518586733342
2014,COLUSA,1,Anthem Blue Cross of California,PPO,Gold,17.577346262909796
2014,COLUSA,1,Anthem Blue Cross of California,PPO,Minimum Coverage,9.466108808765743
2014,COLUSA,1,Anthem Blue Cross of California,PPO,Platinum,8.011785440105182
2014,COLUSA,1,Anthem Blue Cross of California,PPO,Silver,455.59290081488876
2014,COLUSA,1,Blue Shield of California,EPO,Bronze,20.648141326665783
2014,COLUSA,1,Blue Shield of California,EPO,Gold,2.4226537370902017
